species,presence_categories,origin_categories,seasonal_categories
Cinclodes atacamensis,1,1,1
Cinclodes fuscus,1,1,3
Cinclodes pabsti,1,1,1
Cinclus leucocephalus,1,1,1
Cinclus mexicanus,1,1,1
Cinnycerthia fulva,1,1,1
Cinnycerthia olivascens,1,1,1
Cinnycerthia peruana,1,1,1
Cinnycerthia unirufa,1,1,1
Circus buffoni,1,1,"1, 3"
Circus cinereus,1,1,"1, 3"
Circus hudsonius,1,1,"4, 3"
Cissopis leverianus,1,1,1
Cistothorus palustris,1,1,"3, 1"
Cistothorus platensis,1,1,1
Cistothorus stellaris,1,1,3
Claravis pretiosa,1,1,1
Clibanornis dendrocolaptoides,1,1,1
Clibanornis erythrocephalus,1,1,1
Clibanornis rectirostris,1,1,1
Clibanornis rubiginosus,1,1,1
Clytoctantes alixii,"3, 1",1,1
Clytoctantes atrogularis,"1, 3",1,1
Clytolaema rubricauda,1,1,1
Cnemarchus erythropygius,1,1,1
Cnemathraupis aureodorsalis,1,1,1
Cnemathraupis eximia,1,1,1
Cnemoscopus chrysogaster,1,1,1
Cnemoscopus rubrirostris,1,1,1
Cnemotriccus fuscatus,1,1,1
Cnipodectes subbrunneus,1,1,1
Cnipodectes superrufus,1,1,1
Coccycua cinerea,1,1,"2, 3"
Coccycua minuta,1,1,1
Coccycua pumila,1,1,1
Coccyzus americanus,1,1,"3, 2, 4"
Coccyzus erythropthalmus,1,1,"4, 3"
Coccyzus euleri,1,1,1
Coccyzus lansbergi,1,1,1
Coccyzus melacoryphus,1,1,1
Coccyzus minor,1,1,1
Cochlearius cochlearius,1,1,1
Coeligena albicaudata,1,1,1
Coeligena coeligena,1,1,1
Coeligena conradii,1,1,1
Coeligena consita,1,1,1
Coeligena dichroura,1,1,1
Coeligena eisenmanni,1,1,1
Coeligena helianthea,1,1,1
Coeligena inca,1,1,1
Coeligena iris,1,1,1
Coeligena osculans,1,1,1
Coeligena torquata,1,1,1
Coeligena wilsoni,1,1,1
Coereba flaveola,1,1,1
Colaptes aeruginosus,1,1,1
Colaptes atriceps,1,1,1
Colaptes auratus,1,1,3
Colaptes cafer,1,1,1
Colaptes campestris,1,1,1
Colaptes campestroides,1,1,1
Colaptes cinereicapillus,1,1,1
Colaptes melanochloros,1,1,1
Colaptes melanolaimus,1,1,1
Colaptes mexicanoides,1,1,1
Colaptes punctigula,1,1,1
Colaptes rivolii,1,1,1
Colaptes rubiginosus,1,1,1
Colaptes rupicola,1,1,1
Colibri coruscans,1,1,1
Colibri delphinae,1,1,1
Colibri serrirostris,1,1,1
Colibri thalassinus,1,1,1
Colinus cristatus,1,1,1
Colinus leucopogon,1,1,1
Colinus nigrogularis,1,1,1
Colinus virginianus,1,1,1
Colonia colonus,1,1,1
Columbina buckleyi,1,1,1
Columbina cruziana,1,1,1
Columbina cyanopis,4,1,1
Columbina inca,1,1,1
Columbina minuta,1,1,1
Columbina passerina,1,1,1
Columbina picui,1,1,"1, 3"
Columbina squammata,1,1,1
Columbina talpacoti,1,1,1
Compsothraupis loricata,1,1,1
Conioptilon mcilhennyi,1,1,1
Conirostrum albifrons,1,1,1
Conirostrum bicolor,1,1,1
Conirostrum ferrugineiventre,1,1,1
Conirostrum fraseri,1,1,1
Conirostrum leucogenys,1,1,1
Conirostrum margaritae,1,1,1
Conirostrum sitticolor,1,1,1
Conirostrum speciosum,1,1,1
Conopias albovittatus,1,1,1
Conopias cinchoneti,1,1,1
Conopias parvus,1,1,1
Conopias trivirgatus,1,1,1
Conopophaga ardesiaca,1,1,1
Conopophaga aurita,1,1,1
Conopophaga castaneiceps,1,1,1
Conopophaga cearae,1,1,1
Conopophaga lineata,1,1,1
Conopophaga melanogaster,1,1,1
Conopophaga melanops,1,1,1
Conopophaga peruviana,1,1,1
Conopophaga roberti,1,1,1
Conopophaga snethlageae,1,1,1
Conothraupis speculigera,1,1,"2, 3"
Contopus albogularis,1,1,1
Contopus bogotensis,1,1,1
Contopus cinereus,1,1,1
Contopus cooperi,1,1,"3, 4"
Contopus fumigatus,1,1,1
Contopus lugubris,1,1,1
Contopus nigrescens,1,1,1
Contopus ochraceus,1,1,1
Contopus pertinax,1,1,1
Contopus punensis,1,1,1
Contopus sordidulus,1,1,"4, 2, 3"
Contopus virens,1,1,"4, 3"
Coragyps atratus,1,1,1
Corapipo gutturalis,1,1,1
Corapipo leucorrhoa,1,1,1
Corvus corax,1,1,1
Corvus cryptoleucus,1,1,"1, 3"
Corvus imparatus,1,1,1
Corydospiza alaudina,1,1,1
Coryphaspiza melanotis,1,1,1
Coryphospingus cucullatus,1,1,"1, 3"
Coryphospingus pileatus,1,1,1
Corythopis delalandi,1,1,1
Corythopis torquatus,1,1,1
Coscoroba coscoroba,1,1,"1, 3"
Cotinga amabilis,1,1,1
Cotinga cayana,1,1,1
Cotinga cotinga,1,1,1
Cotinga maculata,"4, 1, 5",1,1
Cotinga maynana,1,1,1
Cotinga nattererii,1,1,1
Cotinga ridgwayi,"4, 3, 1",1,1
Coturnicops notatus,1,1,1
Cranioleuca albicapilla,1,1,1
Cranioleuca baroni,1,1,1
Cranioleuca curtata,1,1,1
Cranioleuca demissa,1,1,1
Cranioleuca dissita,1,1,1
Cranioleuca erythrops,1,1,1
Cranioleuca marcapatae,1,1,1
Cranioleuca muelleri,1,1,1
Cranioleuca obsoleta,1,1,1
Cranioleuca pallida,1,1,1
Cranioleuca pyrrhophia,1,1,1
Cranioleuca semicinerea,1,1,1
Cranioleuca subcristata,1,1,1
Cranioleuca sulphurifera,1,1,1
Cranioleuca vulpecula,1,1,1
Cranioleuca vulpina,1,1,1
Cranioleuca weskei,1,1,1
Crax alberti,"3, 4, 1",1,1
Crax alector,1,1,1
Crax blumenbachii,"4, 1",1,1
Crax daubentoni,1,1,1
Crax fasciolata,"1, 4",1,1
Crax globulosa,"1, 4",1,1
Crax pinima,1,1,1
Crax rubra,1,1,1
Creurgops dentatus,1,1,1
Creurgops verticalis,1,1,1
Crotophaga ani,1,1,1
Crotophaga major,1,1,1
Crotophaga sulcirostris,1,1,1
Cryptoleucopteryx plumbea,1,1,1
Cryptopipo holochlora,1,1,1
Cryptopipo litae,1,1,1
Crypturellus atrocapillus,1,1,1
Crypturellus bartletti,1,1,1
Crypturellus berlepschi,1,1,1
Crypturellus boucardi,1,1,1
Crypturellus brevirostris,1,1,1
Crypturellus casiquiare,1,1,1
Crypturellus cinereus,1,1,1
Crypturellus cinnamomeus,1,1,1
Crypturellus duidae,1,1,1
Crypturellus erythropus,1,1,1
Crypturellus kerriae,"4, 1, 3",1,1
Crypturellus noctivagus,1,1,1
Crypturellus obsoletus,1,1,1
Crypturellus parvirostris,1,1,1
Crypturellus soui,1,1,1
Crypturellus strigulosus,1,1,1
Crypturellus tataupa,1,1,1
Crypturellus transfasciatus,1,1,1
Crypturellus undulatus,1,1,1
Crypturellus variegatus,1,1,1
Culicivora caudacuta,1,1,1
Cyanerpes caeruleus,1,1,1
Cyanerpes cyaneus,1,1,"1, 2, 3"
Cyanerpes lucidus,1,1,1
Cyanerpes nitidus,1,1,1
Cyanicterus cyanicterus,1,1,1
Cyanocitta stelleri,1,1,1
Cyanocompsa parellina,1,1,1
Cyanocorax affinis,1,1,1
Cyanocorax cayanus,1,1,1
Cyanocorax chrysops,1,1,1
Cyanocorax coeruleus,1,1,1
Cyanocorax cristatellus,1,1,1
Cyanocorax cyanomelas,1,1,1
Cyanocorax cyanopogon,1,1,1
Cyanocorax formosus,1,1,1
Cyanocorax hafferi,1,1,1
Cyanocorax heilprini,1,1,1
Cyanocorax melanocyaneus,1,1,1
Cyanocorax morio,1,1,1
Cyanocorax mystacalis,1,1,1
Cyanocorax violaceus,1,1,1
Cyanocorax yncas,1,1,1
Cyanocorax yucatanicus,1,1,1
Cyanoloxia brissonii,1,1,1
Cyanoloxia cyanoides,1,1,1
Cyanoloxia glaucocaerulea,1,1,"1, 3"
Cyanoloxia rothschildii,1,1,1
Cyanolyca argentigula,1,1,1
Cyanolyca cucullata,1,1,1
Cyanolyca nanus,1,1,1
Cyanolyca pulchra,1,1,1
Cyanolyca pumilo,1,1,1
Cyanolyca quindiuna,1,1,1
Cyanolyca turcosa,1,1,1
Cyanolyca viridicyanus,1,1,1
Cyclarhis gujanensis,1,1,1
Cyclarhis nigrirostris,1,1,1
Cygnus buccinator,5,1,3
Cygnus melancoryphus,1,1,3
Cymbilaimus lineatus,1,1,1
Cymbilaimus sanctaemariae,1,1,1
Cynanthus latirostris,1,1,"1, 3"
Cynanthus sordidus,1,1,1
Cyphorhinus arada,1,1,1
Cyphorhinus dichrous,1,1,1
Cyphorhinus phaeocephalus,1,1,1
Cyphorhinus thoracicus,1,1,1
Cyphos macrodactylus,1,1,1
Cypseloides cherriei,1,1,2
Cypseloides cryptus,1,1,1
Cypseloides fumigatus,1,1,1
Cypseloides lemosi,1,1,1
Cypseloides niger,1,1,"2, 4"
Cypseloides senex,1,1,1
Cypsnagra hirundinacea,1,1,1
Cyrtonyx montezumae,1,1,1
Cyrtonyx ocellatus,1,1,1
Cyrtonyx sallei,1,1,1
Dacnis albiventris,1,1,1
Dacnis berlepschi,"1, 3",1,1
Dacnis cayana,1,1,1
Dacnis egregia,1,1,1
Dacnis flaviventer,1,1,1
Dacnis hartlaubi,1,1,1
Dacnis lineata,1,1,1
Dacnis nigripes,"1, 4, 3",1,1
Dacnis venusta,1,1,1
Dacnis viguieri,1,1,1
Dactylortyx thoracicus,1,1,1
Daption capense,1,1,1
Daptrius ater,1,1,1
Deconychura longicauda,1,1,1
Deconychura pallida,1,1,1
Deconychura typica,1,1,1
Deltarhynchus flammulatus,1,1,1
Dendrexetastes rufigula,1,1,1
Dendrocincla anabatina,1,1,1
Dendrocincla fuliginosa,1,1,1
Dendrocincla homochroa,1,1,1
Dendrocincla merula,1,1,1
Dendrocincla turdina,1,1,1
Dendrocincla tyrannina,1,1,1
Dendrocolaptes certhia,1,1,1
Dendrocolaptes hoffmannsi,1,1,1
Dendrocolaptes picumnus,1,1,1
Dendrocolaptes platyrostris,1,1,1
Dendrocolaptes punctipectus,1,1,1
Dendrocolaptes sanctithomae,1,1,1
Dendrocygna autumnalis,1,1,1
Dendrocygna bicolor,1,1,1
Dendrocygna viduata,1,1,1
Dendroplex kienerii,1,1,1
Dendroplex picus,1,1,1
Dendrortyx barbatus,"1, 3",1,1
Dendrortyx leucophrys,1,1,1
Dendrortyx macroura,1,1,1
Deroptyus accipitrinus,1,1,1
Dichrozona cincta,1,1,1
Diglossa albilatera,1,1,1
Diglossa baritula,1,1,1
Diglossa brunneiventris,1,1,1
Diglossa caerulescens,1,1,1
Diglossa carbonaria,1,1,1
Diglossa cyanea,1,1,1
Diglossa duidae,1,1,1
Diglossa glauca,1,1,1
Diglossa humeralis,1,1,1
Diglossa indigotica,1,1,1
Diglossa lafresnayii,1,1,1
Diglossa major,1,1,1
Diglossa mystacalis,1,1,1
Diglossa plumbea,1,1,1
Diglossa sittoides,1,1,1
Diomedea dabbenena,1,1,1
Diomedea exulans,1,1,1
Diopsittaca cumanensis,1,1,1
Diopsittaca nobilis,1,1,1
Discosura conversii,1,1,1
Discosura langsdorffi,1,1,1
Discosura letitiae,3,1,1
Discosura longicaudus,1,1,1
Discosura popelairii,1,1,1
Dives dives,1,1,1
Dives warczewiczi,1,1,1
Dolichonyx oryzivorus,1,1,"3, 4"
Doliornis sclateri,1,1,1
Donacobius atricapilla,1,1,1
Donacospiza albifrons,1,1,1
Doricha eliza,1,1,1
Doricha enicura,1,1,1
Doryfera johannae,1,1,1
Doryfera ludovicae,1,1,1
Dromococcyx pavoninus,1,1,1
Dromococcyx phasianellus,1,1,1
Drymophila devillei,1,1,1
Drymophila ferruginea,1,1,1
Drymophila genei,1,1,1
Drymophila klagesi,1,1,1
Drymophila malura,1,1,1
Drymophila ochropyga,1,1,1
Drymophila rubricollis,1,1,1
Drymophila squamata,1,1,1
Drymophila striaticeps,1,1,1
Drymotoxeres pucheranii,1,1,1
Dryobates scalaris,1,1,1
Dubusia castaneoventris,1,1,1
Dubusia stictocephala,1,1,1
Dubusia taeniata,1,1,1
Dumetella carolinensis,1,1,3
Dysithamnus leucostictus,1,1,1
Dysithamnus mentalis,1,1,1
Dysithamnus occidentalis,"4, 1",1,1
Dysithamnus plumbeus,"1, 4",1,1
Dysithamnus puncticeps,1,1,1
Dysithamnus stictothorax,1,1,1
Dysithamnus striaticeps,1,1,1
Dysithamnus xanthopterus,"1, 3",1,1
Ectopistes migratorius,5,1,1
Egretta caerulea,1,1,"3, 4, 1"
Egretta rufescens,1,1,"1, 3"
Egretta thula,1,1,"3, 1"
Egretta tricolor,1,1,"3, 1"
Elaenia albiceps,1,1,"3, 1, 4"
Elaenia brachyptera,1,1,1
Elaenia chiriquensis,1,1,1
Elaenia cristata,1,1,1
Elaenia flavogaster,1,1,1
Elaenia frantzii,1,1,1
Elaenia gigas,1,1,1
Elaenia martinica,1,1,1
Elaenia mesoleuca,1,1,1
Elaenia obscura,1,1,1
Elaenia olivina,1,1,1
Elaenia pallatangae,1,1,1
Elaenia parvirostris,1,1,"3, 1"
Elaenia pelzelni,1,1,1
Elaenia ruficeps,1,1,1
Elaenia sordida,1,1,1
Elaenia spectabilis,1,1,"1, 3"
Elaenia strepera,1,1,"1, 3"
Elanoides forficatus,1,1,"4, 1, 2"
Elanus leucurus,1,1,1
Electron carinatum,"1, 4",1,1
Electron platyrhynchum,1,1,1
Eleoscytalopus indigoticus,1,1,1
Eleoscytalopus psychopompus,1,1,1
Eleothreptus anomalus,"4, 1",1,1
Eleothreptus candicans,"4, 1, 3",1,1
Elvira chionura,1,1,1
Elvira cupreiceps,1,1,1
Emberizoides herbicola,1,1,1
Emberizoides ypiranganus,1,1,1
Embernagra longicauda,1,1,1
Embernagra platensis,1,1,1
Empidonax affinis,1,1,1
Empidonax albigularis,1,1,"1, 2, 3, 4"
Empidonax alnorum,1,1,"4, 3"
Empidonax atriceps,1,1,1
Empidonax flavescens,1,1,1
Empidonax flaviventris,1,1,"3, 4"
Empidonax fulvifrons,1,1,"1, 3"
Empidonax hammondii,1,1,"3, 4"
Empidonax minimus,1,1,"3, 4"
Empidonax oberholseri,1,1,3
Empidonax occidentalis,1,1,1
Empidonax traillii,1,1,"4, 3"
Empidonax virescens,1,1,"4, 3"
Empidonax wrightii,1,1,3
Empidonomus varius,1,1,"3, 1, 2"
Ensifera ensifera,1,1,1
Entomodestes coracinus,1,1,1
Entomodestes leucotis,1,1,1
Epinecrophylla amazonica,1,1,1
Epinecrophylla erythrura,1,1,1
Epinecrophylla fulviventris,1,1,1
Epinecrophylla gutturalis,1,1,1
Epinecrophylla haematonota,1,1,1
Epinecrophylla hoffmannsi,1,1,1
Epinecrophylla leucophthalma,1,1,1
Epinecrophylla ornata,1,1,1
Epinecrophylla spodionota,1,1,1
Eremophila alpestris,1,1,2
Eriocnemis aline,1,1,1
Eriocnemis sapphiropygia,1,1,1
Eriocnemis vestita,1,1,1
Estrilda astrild,1,3,1
Eubucco aurantiicollis,1,1,1
Eubucco bourcierii,1,1,1
Eubucco glaucogularis,1,1,1
Eubucco richardsoni,"1, 3",1,1
Eubucco steerii,1,1,1
Eubucco tucinkae,1,1,1
Eubucco versicolor,1,1,1
Euchrepomis callinota,1,1,1
Euchrepomis humeralis,1,1,1
Euchrepomis sharpei,1,1,1
Euchrepomis spodioptila,"1, 3",1,1
Eudocimus albus,1,1,"2, 3, 1"
Eudocimus ruber,1,1,1
Eugenes fulgens,1,1,1
Eumomota superciliosa,1,1,1
Eupetomena macroura,1,1,1
Euphagus cyanocephalus,1,1,3
Eupherusa eximia,1,1,1
Eupherusa nigriventris,1,1,1
Euphonia affinis,1,1,1
Euphonia anneae,1,1,1
Euphonia cayennensis,1,1,1
Euphonia chalybea,1,1,1
Euphonia chlorotica,1,1,1
Euphonia chrysopasta,1,1,1
Euphonia concinna,1,1,1
Euphonia cyanocephala,1,1,1
Euphonia finschi,1,1,1
Euphonia fulvicrissa,1,1,1
Euphonia gouldi,1,1,1
Euphonia hirundinacea,1,1,1
Euphonia imitans,1,1,1
Euphonia laniirostris,1,1,1
Euphonia luteicapilla,1,1,1
Euphonia mesochrysa,1,1,1
Euphonia minuta,1,1,1
Euphonia pectoralis,1,1,1
Euphonia plumbea,1,1,1
Euphonia rufiventris,1,1,1
Euphonia saturata,1,1,1
Euphonia trinitatis,1,1,1
Euphonia violacea,1,1,1
Euphonia xanthogaster,1,1,1
Eupsittula astec,1,1,1
Eupsittula aurea,1,1,1
Eupsittula cactorum,1,1,1
Eupsittula canicularis,1,1,1
Eupsittula pertinax,1,1,1
Eurypyga helias,1,1,1
Euscarthmus fulviceps,1,1,1
Euscarthmus meloryphus,1,1,1
Euscarthmus rufomarginatus,"4, 1, 3",1,1
Eutoxeres aquila,1,1,1
Eutoxeres condamini,"1, 3",1,1
Falco columbarius,1,1,"3, 1"
Falco deiroleucus,1,1,1
Falco femoralis,1,1,1
Falco mexicanus,1,1,3
Falco peregrinus,1,1,"4, 3, 1"
Falco rufigularis,1,1,1
Falco sparverius,1,1,"3, 1"
Florisuga fusca,"1, 3",1,1
Florisuga mellivora,1,1,1
Fluvicola albiventer,1,1,"3, 1"
Fluvicola nengeta,1,1,1
Fluvicola pica,1,1,1
Formicarius analis,1,1,1
Formicarius colma,1,1,1
Formicarius moniliger,1,1,1
Formicarius nigricapillus,1,1,1
Formicarius rufifrons,1,1,1
Formicarius rufipectus,1,1,1
Formicivora acutirostris,1,1,1
Formicivora erythronotos,1,1,1
Formicivora grisea,1,1,1
Formicivora iheringi,1,1,1
Formicivora intermedia,1,1,1
Formicivora melanogaster,1,1,1
Formicivora paludicola,1,1,1
Formicivora rufa,1,1,1
Formicivora serrana,1,1,1
Forpus coelestis,1,1,1
Forpus conspicillatus,1,1,1
Forpus modestus,"3, 1",1,1
Forpus passerinus,1,1,1
Forpus spengeli,1,1,1
Forpus xanthopterygius,1,1,1
Frederickena unduliger,1,1,1
Frederickena viridis,1,1,1
Fregata ariel,1,1,1
Fregata magnificens,1,1,"2, 3"
Fregetta tropica,1,1,3
Fulica americana,1,1,"1, 3"
Fulica ardesiaca,1,1,1
Fulica armillata,1,1,1
Fulica gigantea,1,1,1
Fulica leucoptera,1,1,1
Fulica rufifrons,1,1,1
Furnarius cinnamomeus,1,1,1
Furnarius figulus,1,1,1
Furnarius leucopus,1,1,1
Furnarius longirostris,1,1,1
Furnarius minor,1,1,1
Furnarius rufus,1,1,1
Furnarius torridus,1,1,1
Galbalcyrhynchus leucotis,1,1,1
Galbalcyrhynchus purusianus,1,1,1
Galbula albirostris,1,1,1
Galbula chalcocephala,1,1,1
Galbula chalcothorax,1,1,1
Galbula cyanescens,1,1,1
Galbula cyanicollis,1,1,1
Galbula dea,1,1,1
Galbula galbula,1,1,1
Galbula leucogastra,1,1,1
Galbula pastazae,1,1,1
Galbula ruficauda,"1, 3",1,1
Galbula tombacea,1,1,1
Gallinago andina,1,1,1
Gallinago delicata,1,1,3
Gallinago imperialis,1,1,1
Gallinago jamesoni,1,1,1
Gallinago nobilis,1,1,1
Gallinago paraguaiae,1,1,1
Gallinago undulata,1,1,1
Gallinula galeata,1,1,"3, 1"
Gampsonyx swainsonii,1,1,1
Gelochelidon nilotica,1,1,"1, 2, 3"
Geococcyx californianus,1,1,1
Geococcyx velox,1,1,1
Geositta cunicularia,1,1,1
Geositta poeciloptera,1,1,1
Geositta rufipennis,1,1,1
Geositta saxicolina,1,1,1
Geositta tenuirostris,1,1,1
Geospizopsis plebejus,1,1,1
Geospizopsis unicolor,1,1,1
Geothlypis aequinoctialis,1,1,1
Geothlypis auricularis,1,1,1
Geothlypis bairdi,1,1,1
Geothlypis chiriquensis,1,1,1
Geothlypis flavovelata,1,1,1
Geothlypis formosa,1,1,"3, 4"
Geothlypis nelsoni,1,1,1
Geothlypis philadelphia,1,1,"4, 3"
Geothlypis poliocephala,1,1,1
Geothlypis semiflava,1,1,1
Geothlypis tolmiei,1,1,"3, 4"
Geothlypis trichas,1,1,"1, 3"
Geotrygon montana,1,1,1
Geotrygon purpurata,1,1,1
Geotrygon saphirina,1,1,1
Geotrygon violacea,1,1,1
Geranoaetus albicaudatus,1,1,1
Geranoaetus melanoleucus,1,1,1
Geranoaetus polyosoma,1,1,1
Geranospiza caerulescens,1,1,1
Glaucidium bolivianum,1,1,1
Glaucidium brasilianum,1,1,1
Glaucidium cobanense,1,1,1
Glaucidium costaricanum,1,1,1
Glaucidium gnoma,1,1,1
Glaucidium griseiceps,1,1,1
Glaucidium hardyi,1,1,1
Glaucidium jardinii,1,1,1
Glaucidium minutissimum,1,1,1
Glaucidium mooreorum,4,1,1
Glaucidium nubicola,1,1,1
Glaucidium parkeri,1,1,1
Glaucidium peruanum,1,1,1
Glaucidium sanchezi,1,1,1
Glaucis aeneus,1,1,1
Glaucis dohrnii,1,1,1
Glaucis hirsutus,1,1,1
Glyphorynchus spirurus,1,1,1
Gnorimopsar chopi,1,1,1
Goethalsia bella,1,1,1
Goldmania violiceps,1,1,1
Grallaria albigula,1,1,1
Grallaria andicolus,1,1,1
Grallaria blakei,1,1,1
Grallaria capitalis,1,1,1
Grallaria carrikeri,1,1,1
Grallaria dignissima,1,1,1
Grallaria eludens,1,1,1
Grallaria erythroleuca,1,1,1
Grallaria flavotincta,1,1,1
Grallaria gigantea,3,1,1
Grallaria guatimalensis,1,1,1
Grallaria haplonota,1,1,1
Grallaria hypoleuca,1,1,1
Grallaria przewalskii,1,1,1
Grallaria ruficapilla,1,1,1
Grallaria rufula,1,1,1
Grallaria squamigera,1,1,1
Grallaria varia,1,1,1
Grallaria watkinsi,1,1,1
Grallaricula ferrugineipectus,1,1,1
Grallaricula flavirostris,1,1,1
Grallaricula leymebambae,1,1,1
Grallaricula nana,1,1,1
Grallaricula peruviana,1,1,1
Granatellus paraensis,1,1,1
Granatellus pelzelni,1,1,1
Granatellus sallaei,1,1,1
Granatellus venustus,1,1,1
Graydidascalus brachyurus,1,1,1
Griseotyrannus aurantioatrocristatus,1,1,"3, 1"
Guaruba guarouba,"1, 5, 3",1,1
Gubernatrix cristata,3,1,1
Gubernetes yetapa,1,1,1
Guira guira,1,1,1
Guyramemua affinis,1,1,1
Gymnocichla nudiceps,1,1,1
Gymnoderus foetidus,1,1,1
Gymnomystax mexicanus,1,1,1
Gymnopithys bicolor,1,1,1
Gymnopithys leucaspis,1,1,1
Gymnopithys rufigula,1,1,1
Habia atrimaxillaris,1,1,1
Habia carmioli,1,1,1
Habia cristata,1,1,1
Habia frenata,1,1,1
Habia fuscicauda,1,1,1
Habia gutturalis,1,1,1
Habia olivacea,1,1,1
Habia stolzmanni,1,1,1
Haematoderus militaris,1,1,1
Haematopus palliatus,1,1,"1, 3"
Haemorhous mexicanus,1,1,1
Hafferia fortis,1,1,1
Hafferia immaculata,1,1,1
Hafferia zeledoni,1,1,1
Haliaeetus leucocephalus,1,1,3
Hapalopsittaca melanotis,1,1,1
Hapaloptila castanea,1,1,1
Haplophaedia assimilis,1,1,1
Haplophaedia aureliae,1,1,1
Haplospiza unicolor,1,1,1
Harpagus bidentatus,1,1,1
Harpagus diodon,1,1,"2, 3, 4"
Harpia harpyja,1,1,1
Heliactin bilophus,1,1,1
Heliangelus amethysticollis,1,1,1
Heliangelus exortis,1,1,1
Heliangelus regalis,1,1,1
Heliangelus strophianus,1,1,1
Helicolestes hamatus,1,1,1
Heliobletus contaminatus,1,1,1
Heliodoxa aurescens,1,1,1
Heliodoxa branickii,1,1,1
Heliodoxa gularis,"4, 3, 1",1,1
Heliodoxa imperatrix,1,1,1
Heliodoxa jacula,1,1,1
Heliodoxa leadbeateri,1,1,1
Heliodoxa rubinoides,1,1,1
Heliodoxa schreibersii,1,1,1
Heliodoxa whitelyana,1,1,1
Heliodoxa xanthogonys,1,1,1
Heliomaster constantii,1,1,1
Heliomaster furcifer,1,1,1
Heliomaster longirostris,1,1,1
Heliomaster squamosus,1,1,1
Heliornis fulica,1,1,1
Heliothryx auritus,1,1,1
Heliothryx barroti,1,1,1
Hellmayrea gularis,1,1,1
Helmitheros vermivorum,1,1,"4, 3"
Hemithraupis flavicollis,1,1,1
Hemithraupis guira,1,1,1
Hemithraupis ruficapilla,1,1,1
Hemitriccus cohnhafti,1,1,1
Hemitriccus diops,1,1,1
Hemitriccus flammulatus,1,1,1
Hemitriccus furcatus,"1, 4, 3",1,1
Hemitriccus granadensis,1,1,1
Hemitriccus griseipectus,1,1,1
Hemitriccus inornatus,1,1,1
Hemitriccus iohannis,1,1,1
Hemitriccus josephinae,1,1,1
Hemitriccus kaempferi,"4, 1",1,1
Hemitriccus margaritaceiventer,1,1,1
Hemitriccus minimus,1,1,1
Hemitriccus minor,1,1,1
Hemitriccus mirandae,"4, 1, 3",1,1
Hemitriccus nidipendulus,1,1,1
Hemitriccus obsoletus,1,1,1
Hemitriccus orbitatus,1,1,1
Hemitriccus rufigularis,1,1,1
Hemitriccus spodiops,1,1,1
